id,id_pais,id_material,fecha,id_vendedor,id_comprador,venta
60,1,5,2021-04-11 00:00:00,1,0,0
60,1,5,2021-04-11 00:00:00,2,0,0
60,1,5,2021-04-11 00:00:00,3,0,0
60,1,5,2021-04-12 00:00:00,1,0,0
60,1,5,2021-04-12 00:00:00,2,0,0
60,1,5,2021-04-12 00:00:00,3,0,0
60,1,5,2021-04-13 00:00:00,1,0,0
60,1,5,2021-04-13 00:00:00,2,0,0
60,1,5,2021-04-13 00:00:00,3,0,0
60,1,5,2021-04-14 00:00:00,1,0,0
60,1,5,2021-04-14 00:00:00,2,0,0
60,1,5,2021-04-14 00:00:00,3,0,0
60,1,5,2021-04-15 00:00:00,1,0,0
60,1,5,2021-04-15 00:00:00,2,0,0
60,1,5,2021-04-15 00:00:00,3,0,0
60,1,5,2021-04-16 00:00:00,1,0,0
60,1,5,2021-04-16 00:00:00,2,0,0
60,1,5,2021-04-16 00:00:00,3,0,0
60,1,5,2021-04-17 00:00:00,1,0,0
60,1,5,2021-04-17 00:00:00,2,0,0
60,1,5,2021-04-17 00:00:00,3,0,0
60,1,5,2021-04-18 00:00:00,1,0,0
60,1,5,2021-04-18 00:00:00,2,0,0
60,1,5,2021-04-18 00:00:00,3,0,0
60,1,5,2021-04-19 00:00:00,1,0,0
60,1,5,2021-04-19 00:00:00,2,0,0
60,1,5,2021-04-19 00:00:00,3,0,0
60,1,5,2021-04-20 00:00:00,1,0,0
60,1,5,2021-04-20 00:00:00,2,0,0
60,1,5,2021-04-20 00:00:00,3,0,0
60,1,5,2021-04-21 00:00:00,1,0,0
60,1,5,2021-04-21 00:00:00,2,0,0
60,1,5,2021-04-21 00:00:00,3,0,0
60,1,5,2021-04-22 00:00:00,1,0,0
60,1,5,2021-04-22 00:00:00,2,0,0
60,1,5,2021-04-22 00:00:00,3,0,0
60,1,5,2021-04-23 00:00:00,1,0,0
60,1,5,2021-04-23 00:00:00,2,0,0
60,1,5,2021-04-23 00:00:00,3,0,0
60,1,5,2021-04-24 00:00:00,1,0,0
60,1,5,2021-04-24 00:00:00,2,0,0
60,1,5,2021-04-24 00:00:00,3,0,0
60,1,5,2021-04-25 00:00:00,1,0,0
60,1,5,2021-04-25 00:00:00,2,0,0
60,1,5,2021-04-25 00:00:00,3,0,0
60,1,5,2021-04-26 00:00:00,1,0,0
60,1,5,2021-04-26 00:00:00,2,0,0
60,1,5,2021-04-26 00:00:00,3,0,0
60,1,5,2021-04-27 00:00:00,1,0,0
60,1,5,2021-04-27 00:00:00,2,0,0
60,1,5,2021-04-27 00:00:00,3,0,0
60,1,5,2021-04-28 00:00:00,1,0,0
60,1,5,2021-04-28 00:00:00,2,0,0
60,1,5,2021-04-28 00:00:00,3,0,0
60,1,5,2021-04-29 00:00:00,1,0,0
60,1,5,2021-04-29 00:00:00,2,0,0
60,1,5,2021-04-29 00:00:00,3,0,0
60,1,5,2021-04-30 00:00:00,1,0,0
60,1,5,2021-04-30 00:00:00,2,0,0
60,1,5,2021-04-30 00:00:00,3,0,0
60,1,5,2021-05-01 00:00:00,1,0,0
60,1,5,2021-05-01 00:00:00,2,0,0
60,1,5,2021-05-01 00:00:00,3,0,0
60,1,5,2021-05-02 00:00:00,1,0,0
60,1,5,2021-05-02 00:00:00,2,0,0
60,1,5,2021-05-02 00:00:00,3,0,0
60,1,5,2021-05-03 00:00:00,1,0,0
60,1,5,2021-05-03 00:00:00,2,0,0
60,1,5,2021-05-03 00:00:00,3,0,0
60,1,5,2021-05-04 00:00:00,1,0,0
60,1,5,2021-05-04 00:00:00,2,0,0
60,1,5,2021-05-04 00:00:00,3,0,0
60,1,5,2021-05-05 00:00:00,1,0,0
60,1,5,2021-05-05 00:00:00,2,0,0
60,1,5,2021-05-05 00:00:00,3,0,0
60,1,5,2021-05-06 00:00:00,1,0,0
60,1,5,2021-05-06 00:00:00,2,0,0
60,1,5,2021-05-06 00:00:00,3,0,0
60,1,5,2021-05-07 00:00:00,1,0,0
60,1,5,2021-05-07 00:00:00,2,0,0
60,1,5,2021-05-07 00:00:00,3,0,0
60,1,5,2021-05-08 00:00:00,1,0,0
60,1,5,2021-05-08 00:00:00,2,0,0
60,1,5,2021-05-09 00:00:00,1,0,0
60,1,5,2021-05-09 00:00:00,2,0,0
60,1,5,2021-05-09 00:00:00,3,0,0
60,1,5,2021-05-10 00:00:00,1,0,0
60,1,5,2021-05-10 00:00:00,2,0,0
60,1,5,2021-05-10 00:00:00,3,0,0
60,1,5,2021-05-11 00:00:00,1,0,0
60,1,5,2021-05-11 00:00:00,2,0,0
60,1,5,2021-05-11 00:00:00,3,0,0
60,1,5,2021-05-12 00:00:00,1,0,0
60,1,5,2021-05-12 00:00:00,2,0,0
60,1,5,2021-05-12 00:00:00,3,0,0
60,1,5,2021-05-13 00:00:00,1,0,0
60,1,5,2021-05-13 00:00:00,2,0,0
60,1,5,2021-05-13 00:00:00,3,0,0
60,1,5,2021-05-14 00:00:00,1,0,0
60,1,5,2021-05-14 00:00:00,2,0,0
60,1,5,2021-05-14 00:00:00,3,0,0
60,1,5,2021-05-15 00:00:00,1,0,0
60,1,5,2021-05-15 00:00:00,2,0,0
60,1,5,2021-05-15 00:00:00,3,0,0
60,1,5,2021-05-16 00:00:00,1,0,0
60,1,5,2021-05-16 00:00:00,2,0,0
60,1,5,2021-05-16 00:00:00,3,0,0
60,1,5,2021-05-17 00:00:00,1,0,0
60,1,5,2021-05-17 00:00:00,2,0,0
60,1,5,2021-05-17 00:00:00,3,0,0
60,1,5,2021-05-18 00:00:00,1,0,0
60,1,5,2021-05-18 00:00:00,2,0,0
60,1,5,2021-05-18 00:00:00,3,0,0
60,1,5,2021-05-19 00:00:00,1,0,0
60,1,5,2021-05-19 00:00:00,2,0,0
60,1,5,2021-05-19 00:00:00,3,0,0
60,1,5,2021-05-20 00:00:00,1,0,0
60,1,5,2021-05-20 00:00:00,2,0,0
60,1,5,2021-05-20 00:00:00,3,0,0
60,1,5,2021-05-21 00:00:00,1,0,0
60,1,5,2021-05-21 00:00:00,2,0,0
60,1,5,2021-05-21 00:00:00,3,0,0
60,1,5,2021-05-22 00:00:00,1,0,0
60,1,5,2021-05-22 00:00:00,2,0,0
60,1,5,2021-05-22 00:00:00,3,0,0
60,1,5,2021-05-23 00:00:00,1,0,0
60,1,5,2021-05-23 00:00:00,2,0,0
60,1,5,2021-05-23 00:00:00,3,0,0
60,1,5,2021-05-24 00:00:00,1,0,0
60,1,5,2021-05-24 00:00:00,2,0,0
60,1,5,2021-05-24 00:00:00,3,0,0
60,1,5,2021-05-25 00:00:00,1,0,0
60,1,5,2021-05-25 00:00:00,2,0,0
60,1,5,2021-05-25 00:00:00,3,0,0
60,1,5,2021-05-26 00:00:00,1,0,0
60,1,5,2021-05-26 00:00:00,2,0,0
60,1,5,2021-05-26 00:00:00,3,0,0
60,1,5,2021-05-27 00:00:00,1,0,0
60,1,5,2021-05-27 00:00:00,2,0,0
60,1,5,2021-05-27 00:00:00,3,0,0
60,1,5,2021-05-28 00:00:00,1,0,0
60,1,5,2021-05-28 00:00:00,2,0,0
60,1,5,2021-05-28 00:00:00,3,0,0
60,1,5,2021-05-29 00:00:00,1,0,0
60,1,5,2021-05-29 00:00:00,2,0,0
60,1,5,2021-05-29 00:00:00,3,0,0
60,1,5,2021-05-30 00:00:00,1,0,0
60,1,5,2021-05-30 00:00:00,2,0,0
60,1,5,2021-05-30 00:00:00,3,0,0
60,1,5,2021-05-31 00:00:00,1,0,0
60,1,5,2021-05-31 00:00:00,2,0,0
60,1,5,2021-05-31 00:00:00,3,0,0
60,1,5,2021-06-01 00:00:00,1,0,0
60,1,5,2021-06-01 00:00:00,2,0,0
60,1,5,2021-06-01 00:00:00,3,0,0
60,1,5,2021-06-02 00:00:00,1,0,0
60,1,5,2021-06-02 00:00:00,2,0,0
60,1,5,2021-06-02 00:00:00,3,0,0
60,1,5,2021-06-03 00:00:00,1,0,0
60,1,5,2021-06-03 00:00:00,2,0,0
60,1,5,2021-06-03 00:00:00,3,0,0
60,1,5,2021-06-04 00:00:00,1,0,0
60,1,5,2021-06-04 00:00:00,2,0,0
60,1,5,2021-06-04 00:00:00,3,0,0
60,1,5,2021-06-05 00:00:00,1,0,0
60,1,5,2021-06-05 00:00:00,2,0,0
60,1,5,2021-06-05 00:00:00,3,0,0
60,1,5,2021-06-06 00:00:00,1,0,0
60,1,5,2021-06-06 00:00:00,2,0,0
60,1,5,2021-06-06 00:00:00,3,0,0
60,1,5,2021-06-07 00:00:00,1,0,0
60,1,5,2021-06-07 00:00:00,2,0,0
60,1,5,2021-06-07 00:00:00,3,0,0
60,1,5,2021-06-08 00:00:00,1,0,0
60,1,5,2021-06-08 00:00:00,2,0,0
60,1,5,2021-06-08 00:00:00,3,0,0
60,1,5,2021-06-09 00:00:00,1,0,0
60,1,5,2021-06-09 00:00:00,2,0,0
60,1,5,2021-06-09 00:00:00,3,0,0
60,1,5,2021-06-10 00:00:00,1,0,0
60,1,5,2021-06-10 00:00:00,2,0,0
60,1,5,2021-06-11 00:00:00,1,0,0
60,1,5,2021-06-11 00:00:00,2,0,0
60,1,5,2021-06-11 00:00:00,3,0,0
60,1,5,2021-06-12 00:00:00,1,0,0
60,1,5,2021-06-12 00:00:00,2,0,0
60,1,5,2021-06-12 00:00:00,3,0,0
60,1,5,2021-06-13 00:00:00,1,0,0
60,1,5,2021-06-13 00:00:00,2,14,131
61,1,5,2021-06-13 00:00:00,3,0,0
61,1,5,2021-06-14 00:00:00,1,0,0
61,1,5,2021-06-14 00:00:00,2,0,0
61,1,5,2021-06-14 00:00:00,3,0,0
61,1,5,2021-06-15 00:00:00,1,0,0
61,1,5,2021-06-15 00:00:00,2,0,0
61,1,5,2021-06-15 00:00:00,3,0,0
61,1,5,2021-06-16 00:00:00,1,0,0
61,1,5,2021-06-16 00:00:00,2,0,0
61,1,5,2021-06-16 00:00:00,3,0,0
61,1,5,2021-06-17 00:00:00,1,0,0
61,1,5,2021-06-17 00:00:00,2,0,0
61,1,5,2021-06-17 00:00:00,3,0,0
61,1,5,2021-06-18 00:00:00,1,0,0
61,1,5,2021-06-18 00:00:00,2,0,0
61,1,5,2021-06-18 00:00:00,3,0,0
61,1,5,2021-06-19 00:00:00,1,0,0
61,1,5,2021-06-19 00:00:00,2,0,0
61,1,5,2021-06-19 00:00:00,3,0,0
61,1,5,2021-06-20 00:00:00,1,0,0
61,1,5,2021-06-20 00:00:00,2,0,0
61,1,5,2021-06-20 00:00:00,3,0,0
61,1,5,2021-06-21 00:00:00,1,0,0
61,1,5,2021-06-21 00:00:00,2,0,0
61,1,5,2021-06-21 00:00:00,3,0,0
61,1,5,2021-06-22 00:00:00,1,0,0
61,1,5,2021-06-22 00:00:00,2,0,0
61,1,5,2021-06-22 00:00:00,3,0,0
61,1,5,2021-06-23 00:00:00,1,0,0
61,1,5,2021-06-23 00:00:00,2,0,0
61,1,5,2021-06-23 00:00:00,3,0,0
61,1,5,2021-06-24 00:00:00,1,0,0
61,1,5,2021-06-24 00:00:00,2,0,0
61,1,5,2021-06-24 00:00:00,3,0,0
61,1,5,2021-06-25 00:00:00,1,0,0
61,1,5,2021-06-25 00:00:00,2,0,0
61,1,5,2021-06-25 00:00:00,3,0,0
61,1,5,2021-06-26 00:00:00,1,0,0
61,1,5,2021-06-26 00:00:00,2,0,0
61,1,5,2021-06-26 00:00:00,3,0,0
61,1,5,2021-06-27 00:00:00,1,0,0
61,1,5,2021-06-27 00:00:00,2,0,0
61,1,5,2021-06-27 00:00:00,3,0,0
61,1,5,2021-06-28 00:00:00,1,0,0
61,1,5,2021-06-28 00:00:00,2,0,0
61,1,5,2021-06-28 00:00:00,3,0,0
61,1,5,2021-06-29 00:00:00,1,0,0
61,1,5,2021-06-29 00:00:00,2,0,0
61,1,5,2021-06-29 00:00:00,3,0,0
61,1,5,2021-06-30 00:00:00,1,0,0
61,1,5,2021-06-30 00:00:00,2,0,0
61,1,5,2021-06-30 00:00:00,3,0,0
61,1,5,2021-07-01 00:00:00,1,0,0
61,1,5,2021-07-01 00:00:00,2,0,0
61,1,5,2021-07-01 00:00:00,3,0,0
61,1,5,2021-07-02 00:00:00,1,0,0
61,1,5,2021-07-02 00:00:00,2,0,0
61,1,5,2021-07-02 00:00:00,3,0,0
61,1,5,2021-07-03 00:00:00,1,0,0
61,1,5,2021-07-03 00:00:00,2,0,0
61,1,5,2021-07-03 00:00:00,3,0,0
61,1,5,2021-07-04 00:00:00,1,0,0
61,1,5,2021-07-04 00:00:00,2,0,0
61,1,5,2021-07-04 00:00:00,3,0,0
61,1,5,2021-07-05 00:00:00,1,0,0
61,1,5,2021-07-05 00:00:00,2,0,0
61,1,5,2021-07-05 00:00:00,3,0,0
61,1,5,2021-07-06 00:00:00,1,0,0
61,1,5,2021-07-06 00:00:00,2,0,0
61,1,5,2021-07-06 00:00:00,3,0,0
61,1,5,2021-07-07 00:00:00,1,0,0
61,1,5,2021-07-07 00:00:00,2,0,0
61,1,5,2021-07-07 00:00:00,3,0,0
61,1,5,2021-07-08 00:00:00,1,0,0
61,1,5,2021-07-08 00:00:00,2,0,0
61,1,5,2021-07-08 00:00:00,3,0,0
61,1,5,2021-07-09 00:00:00,1,0,0
61,1,5,2021-07-09 00:00:00,2,0,0
61,1,5,2021-07-09 00:00:00,3,0,0
61,1,5,2021-07-10 00:00:00,1,0,0
61,1,5,2021-07-10 00:00:00,2,0,0
61,1,5,2021-07-10 00:00:00,3,0,0
61,1,5,2021-07-11 00:00:00,1,0,0
61,1,5,2021-07-11 00:00:00,2,0,0
61,1,5,2021-07-11 00:00:00,3,0,0
61,1,5,2021-07-12 00:00:00,1,0,0
61,1,5,2021-07-12 00:00:00,2,0,0
61,1,5,2021-07-12 00:00:00,3,0,0
61,1,5,2021-07-13 00:00:00,1,0,0
61,1,5,2021-07-13 00:00:00,2,0,0
61,1,5,2021-07-13 00:00:00,3,0,0
61,1,5,2021-07-14 00:00:00,1,0,0
61,1,5,2021-07-14 00:00:00,2,0,0
61,1,5,2021-07-14 00:00:00,3,0,0
61,1,5,2021-07-15 00:00:00,1,0,0
61,1,5,2021-07-15 00:00:00,2,0,0
61,1,5,2021-07-15 00:00:00,3,0,0
61,1,5,2021-07-16 00:00:00,1,0,0
61,1,5,2021-07-16 00:00:00,2,0,0
61,1,5,2021-07-16 00:00:00,3,0,0
61,1,5,2021-07-17 00:00:00,1,0,0
61,1,5,2021-07-17 00:00:00,2,0,0
61,1,5,2021-07-17 00:00:00,3,0,0
61,1,5,2021-07-18 00:00:00,1,0,0
61,1,5,2021-07-18 00:00:00,2,0,0
61,1,5,2021-07-18 00:00:00,3,0,0
61,1,5,2021-07-19 00:00:00,1,0,0
61,1,5,2021-07-19 00:00:00,2,0,0
61,1,5,2021-07-19 00:00:00,3,0,0
61,1,5,2021-07-20 00:00:00,1,0,0
61,1,5,2021-07-20 00:00:00,2,0,0
61,1,5,2021-07-20 00:00:00,3,0,0
61,1,5,2021-07-21 00:00:00,1,0,0
61,1,5,2021-07-21 00:00:00,2,0,0
61,1,5,2021-07-21 00:00:00,3,0,0
61,1,5,2021-07-22 00:00:00,1,0,0
61,1,5,2021-07-22 00:00:00,2,0,0
61,1,5,2021-07-22 00:00:00,3,0,0
61,1,5,2021-07-23 00:00:00,1,0,0
61,1,5,2021-07-23 00:00:00,2,0,0
61,1,5,2021-07-23 00:00:00,3,0,0
61,1,5,2021-07-24 00:00:00,1,0,0
61,1,5,2021-07-24 00:00:00,2,0,0
61,1,5,2021-07-24 00:00:00,3,0,0
61,1,5,2021-07-25 00:00:00,1,0,0
61,1,5,2021-07-25 00:00:00,2,0,0
61,1,5,2021-07-25 00:00:00,3,0,0
61,1,5,2021-07-26 00:00:00,1,0,0
61,1,5,2021-07-26 00:00:00,2,0,0
61,1,5,2021-07-26 00:00:00,3,0,0
61,1,5,2021-07-27 00:00:00,1,0,0
61,1,5,2021-07-27 00:00:00,2,0,0
61,1,5,2021-07-27 00:00:00,3,0,0
61,1,5,2021-07-28 00:00:00,1,0,0
61,1,5,2021-07-28 00:00:00,2,0,0
61,1,5,2021-07-28 00:00:00,3,0,0
61,1,5,2021-07-29 00:00:00,1,0,0
61,1,5,2021-07-29 00:00:00,2,0,0
61,1,5,2021-07-29 00:00:00,3,0,0
61,1,5,2021-07-30 00:00:00,1,0,0
61,1,5,2021-07-30 00:00:00,2,0,0
61,1,5,2021-07-30 00:00:00,3,0,0
61,1,5,2021-07-31 00:00:00,1,0,0
61,1,5,2021-07-31 00:00:00,2,0,0
61,1,5,2021-07-31 00:00:00,3,0,0
61,1,5,2021-08-01 00:00:00,1,0,0
61,1,5,2021-08-01 00:00:00,2,0,0
61,1,5,2021-08-01 00:00:00,3,0,0
61,1,5,2021-08-02 00:00:00,1,0,0
61,1,5,2021-08-02 00:00:00,2,0,0
61,1,5,2021-08-02 00:00:00,3,0,0
61,1,5,2021-08-03 00:00:00,1,0,0
61,1,5,2021-08-03 00:00:00,2,0,0
61,1,5,2021-08-03 00:00:00,3,0,0
61,1,5,2021-08-04 00:00:00,1,0,0
61,1,5,2021-08-04 00:00:00,2,0,0
61,1,5,2021-08-04 00:00:00,3,0,0
61,1,5,2021-08-05 00:00:00,1,0,0
61,1,5,2021-08-05 00:00:00,2,0,0
61,1,5,2021-08-05 00:00:00,3,0,0
61,1,5,2021-08-06 00:00:00,1,0,0
61,1,5,2021-08-06 00:00:00,2,0,0
61,1,5,2021-08-06 00:00:00,3,0,0
61,1,5,2021-08-07 00:00:00,1,0,0
61,1,5,2021-08-07 00:00:00,2,0,0
61,1,5,2021-08-07 00:00:00,3,0,0
61,1,5,2021-08-08 00:00:00,1,0,0
61,1,5,2021-08-08 00:00:00,2,0,0
61,1,5,2021-08-08 00:00:00,3,0,0
61,1,5,2021-08-09 00:00:00,1,0,0
61,1,5,2021-08-09 00:00:00,2,0,0
61,1,5,2021-08-09 00:00:00,3,0,0
61,1,5,2021-08-10 00:00:00,1,0,0
61,1,5,2021-08-10 00:00:00,2,0,0
61,1,5,2021-08-10 00:00:00,3,0,0
61,1,5,2021-08-11 00:00:00,1,0,0
61,1,5,2021-08-11 00:00:00,2,0,0
61,1,5,2021-08-11 00:00:00,3,0,0
61,1,5,2021-08-12 00:00:00,1,0,0
61,1,5,2021-08-12 00:00:00,2,0,0
61,1,5,2021-08-12 00:00:00,3,0,0
61,1,5,2021-08-13 00:00:00,1,0,0
61,1,5,2021-08-13 00:00:00,2,0,0
61,1,5,2021-08-13 00:00:00,3,0,0
61,1,5,2021-08-14 00:00:00,1,0,0
61,1,5,2021-08-14 00:00:00,2,0,0
61,1,5,2021-08-14 00:00:00,3,0,0
61,1,5,2021-08-15 00:00:00,1,0,0
61,1,5,2021-08-15 00:00:00,2,0,0
61,1,5,2021-08-15 00:00:00,3,0,0
61,1,5,2021-08-16 00:00:00,1,0,0
61,1,5,2021-08-16 00:00:00,2,0,0
61,1,5,2021-08-16 00:00:00,3,0,0
61,1,5,2021-08-17 00:00:00,1,0,0
61,1,5,2021-08-17 00:00:00,2,0,0
61,1,5,2021-08-17 00:00:00,3,0,0
61,1,5,2021-08-18 00:00:00,1,0,0
61,1,5,2021-08-18 00:00:00,2,0,0
61,1,5,2021-08-18 00:00:00,3,0,0
61,1,5,2021-08-19 00:00:00,1,0,0
61,1,5,2021-08-19 00:00:00,2,0,0
61,1,5,2021-08-19 00:00:00,3,0,0
61,1,5,2021-08-20 00:00:00,1,0,0
61,1,5,2021-08-20 00:00:00,2,0,0
61,1,5,2021-08-20 00:00:00,3,0,0
61,1,5,2021-08-21 00:00:00,1,0,0
61,1,5,2021-08-21 00:00:00,2,0,0
61,1,5,2021-08-21 00:00:00,3,0,0
61,1,5,2021-08-22 00:00:00,1,0,0
61,1,5,2021-08-22 00:00:00,2,0,0
61,1,5,2021-08-22 00:00:00,3,0,0
61,1,5,2021-08-23 00:00:00,1,0,0
61,1,5,2021-08-23 00:00:00,2,0,0
61,1,5,2021-08-23 00:00:00,3,0,0
61,1,5,2021-08-24 00:00:00,1,0,0
61,1,5,2021-08-24 00:00:00,2,0,0
61,1,5,2021-08-24 00:00:00,3,0,0
61,1,5,2021-08-25 00:00:00,1,0,0
61,1,5,2021-08-25 00:00:00,2,0,0
61,1,5,2021-08-25 00:00:00,3,0,0
61,1,5,2021-08-26 00:00:00,1,0,0
61,1,5,2021-08-26 00:00:00,2,0,0
61,1,5,2021-08-26 00:00:00,3,0,0
61,1,5,2021-08-27 00:00:00,1,0,0
61,1,5,2021-08-27 00:00:00,2,0,0
61,1,5,2021-08-27 00:00:00,3,0,0
61,1,5,2021-08-28 00:00:00,1,0,0
61,1,5,2021-08-28 00:00:00,2,0,0
61,1,5,2021-08-28 00:00:00,3,0,0
61,1,5,2021-08-29 00:00:00,1,0,0
61,1,5,2021-08-29 00:00:00,2,0,0
61,1,5,2021-08-29 00:00:00,3,0,0
61,1,5,2021-08-30 00:00:00,1,0,0
61,1,5,2021-08-30 00:00:00,2,0,0
61,1,5,2021-08-30 00:00:00,3,0,0
61,1,5,2021-08-31 00:00:00,1,0,0
61,1,5,2021-08-31 00:00:00,2,0,0
61,1,5,2021-08-31 00:00:00,3,0,0
61,1,5,2021-09-01 00:00:00,1,0,0
61,1,5,2021-09-01 00:00:00,2,0,0
61,1,5,2021-09-01 00:00:00,3,0,0
61,1,5,2021-09-02 00:00:00,1,0,0
61,1,5,2021-09-02 00:00:00,2,0,0
61,1,5,2021-09-02 00:00:00,3,0,0
61,1,5,2021-09-03 00:00:00,1,0,0
61,1,5,2021-09-03 00:00:00,2,0,0
61,1,5,2021-09-03 00:00:00,3,0,0
61,1,5,2021-09-04 00:00:00,1,0,0
61,1,5,2021-09-04 00:00:00,2,0,0
61,1,5,2021-09-04 00:00:00,3,0,0
61,1,5,2021-09-05 00:00:00,1,0,0
61,1,5,2021-09-05 00:00:00,2,0,0
61,1,5,2021-09-05 00:00:00,3,0,0
61,1,5,2021-09-06 00:00:00,1,0,0
61,1,5,2021-09-06 00:00:00,2,0,0
61,1,5,2021-09-06 00:00:00,3,0,0
61,1,5,2021-09-07 00:00:00,1,32,125
62,1,5,2021-09-07 00:00:00,2,0,0
62,1,5,2021-09-07 00:00:00,3,0,0
62,1,5,2021-09-08 00:00:00,1,0,0
62,1,5,2021-09-08 00:00:00,2,0,0
62,1,5,2021-09-08 00:00:00,3,0,0
62,1,5,2021-09-09 00:00:00,1,0,0
62,1,5,2021-09-09 00:00:00,2,0,0
62,1,5,2021-09-09 00:00:00,3,0,0
62,1,5,2021-09-10 00:00:00,1,0,0
62,1,5,2021-09-10 00:00:00,2,0,0
62,1,5,2021-09-10 00:00:00,3,0,0
62,1,5,2021-09-11 00:00:00,1,0,0
62,1,5,2021-09-11 00:00:00,2,0,0
62,1,5,2021-09-11 00:00:00,3,0,0
62,1,5,2021-09-12 00:00:00,1,0,0
62,1,5,2021-09-12 00:00:00,2,0,0
62,1,5,2021-09-12 00:00:00,3,0,0
62,1,5,2021-09-13 00:00:00,1,0,0
62,1,5,2021-09-13 00:00:00,2,0,0
62,1,5,2021-09-13 00:00:00,3,0,0
62,1,5,2021-09-14 00:00:00,1,0,0
62,1,5,2021-09-14 00:00:00,2,0,0
62,1,5,2021-09-14 00:00:00,3,0,0
62,1,5,2021-09-15 00:00:00,2,0,0
62,1,5,2021-09-15 00:00:00,3,0,0
62,1,5,2021-09-16 00:00:00,1,0,0
62,1,5,2021-09-16 00:00:00,2,0,0
62,1,5,2021-09-16 00:00:00,3,0,0
62,1,5,2021-09-17 00:00:00,1,0,0
62,1,5,2021-09-17 00:00:00,2,0,0
62,1,5,2021-09-17 00:00:00,3,0,0
62,1,5,2021-09-18 00:00:00,1,0,0
62,1,5,2021-09-18 00:00:00,2,0,0
62,1,5,2021-09-18 00:00:00,3,0,0
62,1,5,2021-09-19 00:00:00,1,0,0
62,1,5,2021-09-19 00:00:00,2,0,0
62,1,5,2021-09-19 00:00:00,3,0,0
62,1,5,2021-09-20 00:00:00,1,0,0
62,1,5,2021-09-20 00:00:00,2,0,0
62,1,5,2021-09-20 00:00:00,3,0,0
62,1,5,2021-09-21 00:00:00,1,0,0
62,1,5,2021-09-21 00:00:00,2,0,0
62,1,5,2021-09-21 00:00:00,3,0,0
62,1,5,2021-09-22 00:00:00,1,0,0
62,1,5,2021-09-22 00:00:00,2,0,0
62,1,5,2021-09-22 00:00:00,3,0,0
62,1,5,2021-09-23 00:00:00,1,0,0
62,1,5,2021-09-23 00:00:00,2,0,0
62,1,5,2021-09-23 00:00:00,3,0,0
62,1,5,2021-09-24 00:00:00,1,0,0
62,1,5,2021-09-24 00:00:00,2,0,0
62,1,5,2021-09-24 00:00:00,3,0,0
62,1,5,2021-09-25 00:00:00,1,0,0
62,1,5,2021-09-25 00:00:00,2,0,0
62,1,5,2021-09-25 00:00:00,3,0,0
62,1,5,2021-09-26 00:00:00,1,0,0
62,1,5,2021-09-26 00:00:00,2,0,0
62,1,5,2021-09-26 00:00:00,3,0,0
62,1,5,2021-09-27 00:00:00,1,0,0
62,1,5,2021-09-27 00:00:00,2,0,0
62,1,5,2021-09-27 00:00:00,3,0,0
62,1,5,2021-09-28 00:00:00,1,0,0
62,1,5,2021-09-28 00:00:00,2,0,0
62,1,5,2021-09-28 00:00:00,3,0,0
62,1,5,2021-09-29 00:00:00,1,0,0
62,1,5,2021-09-29 00:00:00,2,0,0
62,1,5,2021-09-29 00:00:00,3,0,0
62,1,5,2021-09-30 00:00:00,1,0,0
62,1,5,2021-09-30 00:00:00,2,0,0
62,1,5,2021-09-30 00:00:00,3,0,0
62,1,5,2021-10-01 00:00:00,1,0,0
62,1,5,2021-10-01 00:00:00,2,0,0
62,1,5,2021-10-01 00:00:00,3,0,0
62,1,5,2021-10-02 00:00:00,1,0,0
62,1,5,2021-10-02 00:00:00,2,0,0
62,1,5,2021-10-02 00:00:00,3,0,0
62,1,5,2021-10-03 00:00:00,1,0,0
62,1,5,2021-10-03 00:00:00,2,0,0
62,1,5,2021-10-03 00:00:00,3,0,0
62,1,5,2021-10-04 00:00:00,1,0,0
62,1,5,2021-10-04 00:00:00,2,0,0
62,1,5,2021-10-04 00:00:00,3,0,0
62,1,5,2021-10-05 00:00:00,1,0,0
62,1,5,2021-10-05 00:00:00,2,0,0
62,1,5,2021-10-05 00:00:00,3,0,0
62,1,5,2021-10-06 00:00:00,1,0,0
62,1,5,2021-10-06 00:00:00,2,0,0
62,1,5,2021-10-06 00:00:00,3,0,0
62,1,5,2021-10-07 00:00:00,1,0,0
62,1,5,2021-10-07 00:00:00,2,0,0
62,1,5,2021-10-07 00:00:00,3,0,0
62,1,5,2021-10-08 00:00:00,1,0,0
62,1,5,2021-10-08 00:00:00,2,0,0
62,1,5,2021-10-08 00:00:00,3,0,0
62,1,5,2021-10-09 00:00:00,1,0,0
62,1,5,2021-10-09 00:00:00,2,0,0
62,1,5,2021-10-09 00:00:00,3,0,0
62,1,5,2021-10-10 00:00:00,1,0,0
62,1,5,2021-10-10 00:00:00,2,0,0
62,1,5,2021-10-10 00:00:00,3,0,0
62,1,5,2021-10-11 00:00:00,1,0,0
62,1,5,2021-10-11 00:00:00,2,0,0
62,1,5,2021-10-11 00:00:00,3,0,0
62,1,5,2021-10-12 00:00:00,1,0,0
62,1,5,2021-10-12 00:00:00,2,0,0
62,1,5,2021-10-12 00:00:00,3,0,0
62,1,5,2021-10-13 00:00:00,1,0,0
62,1,5,2021-10-13 00:00:00,2,0,0
62,1,5,2021-10-13 00:00:00,3,0,0
62,1,5,2021-10-14 00:00:00,1,0,0
62,1,5,2021-10-14 00:00:00,2,0,0
62,1,5,2021-10-14 00:00:00,3,0,0
